,text,duck
0,Duck is the common name for numerous species of waterfowl in the family Anatidae. ,1
1,"Ducks are generally smaller and shorter-necked than swans and geese, which are members of the same family. ",1
2,"Divided among several subfamilies, they are a form taxon; they do not represent a monophyletic group (the group of all descendants of a single common ancestral species), since swans and geese are not considered ducks. ",1
3,"Ducks are mostly aquatic birds, and may be found in both fresh water and sea water.",1
4,"Ducks are sometimes confused with several types of unrelated water birds with similar forms, such as loons or divers, grebes, gallinules and coots.",1
5,"The word duck comes from Old English dūce 'diver', a derivative of the verb *dūcan 'to duck, bend down low as if to get under something, or dive', because of the way many species in the dabbling duck group feed by upending; compare with Dutch duiken and German tauchen 'to dive'.",1
6,"Pacific black duck displaying the characteristic upending ""duck"".",1
7,"This word replaced Old English ened /ænid 'duck', possibly to avoid confusion with other words, such as ende 'end' with similar forms. ",1
8,"Other Germanic languages still have similar words for duck, for example, Dutch eend, German Ente and Norwegian and. ",1
9,"The word ened /ænid was inherited from Proto-Indo-European; cf. Latin anas ""duck"", Lithuanian ántis 'duck', Ancient Greek νῆσσα /νῆττα (nēssa /nētta) 'duck', and Sanskrit ātí 'water bird', among others.",1
10,"A duckling is a young duck in downy plumage or baby duck, but in the food trade a young domestic duck which has just reached adult size and bulk and its meat is still fully tender, is sometimes labelled as a duckling.",1
11,"A male is called a drake and the female is called a duck, or in ornithology a hen.",1
12,Male mallard.,1
13,Wood ducks.,1
14,"All ducks belong to the biological order Anseriformes, a group that contains the ducks, geese and swans, as well as the screamers, and the magpie goose. ",1
15,All except the screamers belong to the biological family Anatidae.,1
16,"Within the family, ducks are split into a variety of subfamilies and 'tribes'.",1
17,The number and composition of these subfamilies and tribes is the cause of considerable disagreement among taxonomists.,1
18,"Some base their decisions on morphological characteristics, others on shared behaviours or genetic studies.",1
19,The number of suggested subfamilies containing ducks ranges from two to five.,1
20,The significant level of hybridisation that occurs among wild ducks complicates efforts to tease apart the relationships between various species.,1
21,Mallard landing in approach,1
22,"In most modern classifications, the so-called 'true ducks' belong to the subfamily Anatinae, which is further split into a varying number of tribes.",1
23,"The largest of these, the Anatini, contains the 'dabbling' or 'river' ducks - named for their method of feeding primarily at the surface of fresh water.",1
24,"The 'diving ducks', also named for their primary feeding method, make up the tribe Aythyini.",1
25,The 'sea ducks' of the tribe Mergini are diving ducks which specialise on fish and shellfish and spend a majority of their lives in saltwater.,1
26,"The tribe Oxyurini contains the 'stifftails', diving ducks notable for their small size and stiff, upright tails.",1
27,"A number of other species called ducks are not considered to be 'true ducks', and are typically placed in other subfamilies or tribes. ",1
28,"The whistling ducks are assigned either to a tribe (Dendrocygnini) in the subfamily Anatinae or the subfamily Anserinae, or to their own subfamily (Dendrocygninae) or family (Dendrocyganidae).",1
29,"The freckled duck of Australia is either the sole member of the tribe Stictonettini in the subfamily Anserinae, or in its own family, the Stictonettinae.",1
30,"The shelducks make up the tribe Tadornini in the family Anserinae in some classifications, and their own subfamily, Tadorninae, in others, while the steamer ducks are either placed in the family Anserinae in the tribe Tachyerini or lumped with the shelducks in the tribe Tadorini. ",1
31,"The perching ducks make up in the tribe Cairinini in the subfamily Anserinae in some classifications, while that tribe is eliminated in other classifications and its members assigned to the tribe Anatini.",1
32,"The torrent duck is generally included in the subfamily Anserinae in the monotypic tribe Merganettini, but is sometimes included in the tribe Tadornini. ",1
33,"The pink-eared duck is sometimes included as a true duck either in the tribe Anatini or the tribe Malacorhynchini, and other times is included with the shelducks in the tribe Tadornini.",1
34,Male Mandarin duck.,1
35,"The overall body plan of ducks is elongated and broad, and they are also relatively long-necked, albeit not as long-necked as the geese and swans. ",1
36,The body shape of diving ducks varies somewhat from this in being more rounded. ,1
37,"The bill is usually broad and contains serrated pectens, which are particularly well defined in the filter-feeding species. ",1
38,In the case of some fishing species the bill is long and strongly serrated. ,1
39,"The scaled legs are strong and well developed, and generally set far back on the body, more so in the highly aquatic species. ",1
40,"The wings are very strong and are generally short and pointed, and the flight of ducks requires fast continuous strokes, requiring in turn strong wing muscles. ",1
41,"Three species of steamer duck are almost flightless, however. ",1
42,Many species of duck are temporarily flightless while moulting; they seek out protected habitat with good food supplies during this period. ,1
43,This moult typically precedes migration.,1
44,"The drakes of northern species often have extravagant plumage, but that is moulted in summer to give a more female-like appearance, the ""eclipse"" plumage. ",1
45,"Southern resident species typically show less sexual dimorphism, although there are exceptions such as the paradise shelduck of New Zealand, which is both strikingly sexually dimorphic and in which the female's plumage is brighter than that of the male. ",1
46,The plumage of juvenile ducks generally resembles that of the female. ,1
47,Female ducks have evolved to have a corkscrew shaped vagina to prevent rape.,1
48,"Flying steamer ducks in Ushuaia, Argentina.",1
49,"Ducks have a cosmopolitan distribution, and are found on every continent except Antarctica.",1
50,"Several species manage to live on subantarctic islands, including South Georgia and the Auckland Islands. ",1
51,"Ducks have reached a number of isolated oceanic islands, including the Hawaiian Islands, Micronesia and the Galápagos Islands, where they are often vagrants and less often residents.",1
52,A handful of ducks are endemic to such far-flung islands.,1
53,A brown duck in a fast-flowing stream.,1
54,"Female mallard in Cornwall, England.",1
55,"Some duck species, mainly those breeding in the temperate and Arctic Northern Hemisphere, are migratory. ",1
56,Ducks in the tropics are generally not. ,1
57,"Some ducks, particularly in Australia where rainfall is erratic, are nomadic, seeking out the temporary lakes and pools that form after localised heavy rain.",1
58,Pecten along the bill,1
59,Mallard duckling preening,1
60,"Ducks eat food sources such as grasses, aquatic plants, fish, insects, small amphibians, worms, and small molluscs.",1
61,"Dabbling ducks feed on the surface of water or on land, or as deep as they can reach by up-ending without completely submerging.",1
62,"Along the edge of the bill, there is a comb-like structure called a pecten. ",1
63,Pecten strains the water squirting from the side of the bill and traps any food. ,1
64,The pecten is also used to preen feathers and to hold slippery food items.,1
65,Diving ducks and sea ducks forage deep underwater. ,1
66,"To be able to submerge more easily, the diving ducks are heavier than dabbling ducks, and therefore have more difficulty taking off to fly.",1
67,A few specialized species such as the mergansers are adapted to catch and swallow large fish.,1
68,"The others have the characteristic wide flat bill adapted to dredging-type jobs such as pulling up waterweed, pulling worms and small molluscs out of mud, searching for insect larvae, and bulk jobs such as dredging out, holding, turning head first, and swallowing a squirming frog. ",1
